Date	Open	High	Low	Close*	Adj Close**	Volume
Jun 03, 2021	325.30	327.70	323.65	325.65	325.65	21,408,371
Jun 02, 2021	315.95	324.40	315.60	323.00	323.00	26,323,777
Jun 01, 2021	319.20	325.70	317.30	318.10	318.10	32,595,728
May 31, 2021	318.70	319.75	312.10	318.75	318.75	30,917,309
May 28, 2021	322.65	324.50	316.50	318.75	318.75	26,618,815
May 27, 2021	317.05	323.45	316.55	318.60	318.60	49,484,106
May 26, 2021	316.10	320.00	314.80	315.50	315.50	28,639,717
May 25, 2021	315.55	319.00	313.85	315.25	315.25	37,382,263
May 24, 2021	314.75	315.80	310.20	311.85	311.85	31,963,997
May 21, 2021	312.00	315.70	309.50	313.10	313.10	40,358,753
May 20, 2021	316.00	316.60	306.10	307.70	307.70	54,043,899
May 19, 2021	313.00	322.95	312.10	314.45	314.45	119,407,026
May 18, 2021	325.95	336.65	324.00	332.45	332.45	86,153,088
May 17, 2021	315.40	323.85	311.40	321.10	321.10	51,162,423
May 14, 2021	329.35	329.50	310.00	312.25	312.25	81,305,325
May 12, 2021	318.25	334.75	316.25	326.00	326.00	111,584,920
May 11, 2021	309.55	320.75	308.10	315.55	315.55	58,472,304
May 10, 2021	304.50	315.70	304.00	314.85	314.85	53,260,388
May 07, 2021	303.00	305.95	300.50	302.75	302.75	41,591,323
May 06, 2021	291.50	302.00	290.30	301.25	301.25	45,032,502
May 05, 2021	293.50	293.90	288.50	291.50	291.50	29,350,536
May 04, 2021	296.35	299.75	288.05	289.45	289.45	38,640,006
May 03, 2021	289.30	294.75	285.00	293.00	293.00	35,376,618
Apr 30, 2021	298.20	301.30	292.55	293.85	293.85	36,121,668
Apr 29, 2021	308.90	310.00	301.25	301.90	301.90	36,647,292
Apr 28, 2021	303.50	309.50	303.00	305.90	305.90	44,668,126
Apr 27, 2021	295.70	302.50	295.10	301.50	301.50	35,040,532
Apr 26, 2021	297.00	299.00	294.60	295.40	295.40	30,583,139
Apr 23, 2021	291.00	300.00	290.50	294.00	294.00	58,158,986
Apr 22, 2021	294.00	302.50	292.20	294.55	294.55	61,022,978
Apr 20, 2021	307.70	308.15	294.20	298.05	298.05	56,740,291
Apr 19, 2021	295.00	304.50	292.80	301.40	301.40	65,791,784
Apr 16, 2021	302.00	315.00	300.15	310.00	310.00	75,330,709
Apr 15, 2021	303.00	307.55	296.50	303.50	303.50	75,262,749
Apr 13, 2021	287.25	304.55	280.55	302.85	302.85	116,874,853
Apr 12, 2021	307.85	307.85	282.90	286.55	286.55	105,342,538
Apr 09, 2021	313.20	325.00	312.50	318.20	318.20	75,462,572
Apr 08, 2021	307.90	319.80	307.50	313.95	313.95	62,459,774
Apr 07, 2021	306.75	310.65	305.10	307.80	307.80	39,073,986
Apr 06, 2021	306.15	313.80	304.80	307.75	307.75	63,031,783
Apr 05, 2021	306.80	311.70	297.20	305.05	305.05	66,178,755
Apr 01, 2021	306.75	309.85	303.05	307.75	307.75	44,088,352
